content,a,b,c,d,correct_option
Which of the following is a common application of nanotechnology in medicine?,Targeted drug delivery,Photosynthesis in plants,Fertilizer production,Water purification by boiling,A
What is a genetically modified organism (GMO)?,An organism with altered DNA introduced by artificial methods,An organism found only in natural habitats,An organism that has undergone natural selection,An organism without any DNA,A
Which biomolecule is commonly used as a vector to transfer genes in recombinant DNA technology?,Plasmid,Ribosome,Mitochondria,Lysosome,A
What is the role of restriction enzymes in genetic engineering?,Cutting DNA at specific sequences,Synthesizing proteins,Transcribing RNA from DNA,Replicating DNA strands,A
Which nanomaterial is known for its exceptional electrical conductivity and strength?,Carbon nanotubes,Gold nanoparticles,Silica nanoparticles,Iron oxide nanoparticles,A
"In biotechnology, what is the purpose of using a bioreactor?",To grow microorganisms or cells under controlled conditions,To separate DNA fragments,To measure enzyme activity,To sterilize lab equipment,A
Which process involves the insertion of a gene from one organism into another to produce a desired protein?,Gene cloning,Natural selection,Photosynthesis,Fermentation,A
Find the figure that is to the third figure as the first figure is to the second figure.,Figure 4,Figure 5,Figure 6,Figure 7,C
Choose the figure which is analogous to the given pair: Triangle is to Pyramid as Rectangle is to?,Cube,Cuboid,Cylinder,Sphere,B
Select the figure that bears the same relationship to the third figure as the first figure bears to the second figure.,Figure X,Figure Y,Figure Z,Figure W,B
"If the first figure is a triangle pointing upwards and the second figure is a triangle pointing downwards, what is the fourth figure if the third figure is a square?",Square rotated 45 degrees,Square with diagonal line,Square with a dot,Square inverted,D
Identify the figure that completes the analogy: Line segment is to square as square is to?,Cube,Rectangle,Circle,Triangle,A
"Find the figure that corresponds to the same transformation as the first figure to the second figure: First is a circle with a dot inside, second is a circle with a cross inside, third is a triangle with a dot inside, find the fourth.",Triangle with a cross inside,Triangle with a square inside,Square with a dot inside,Square with a cross inside,A
"If a figure of a square transforms into a figure of a square with one shaded half, then a circle should transform into?",Circle with one shaded half,Circle with a dot in center,Circle with stripes,Empty circle,A
Rearrange the sentences with the fixed last sentence: A) The government launched several welfare schemes. B) These schemes aimed at improving the quality of life for the poor. C) Efforts were made to ensure transparency and efficiency. D) The initiatives led to significant social development.,A B C D,B A C D,A C B D,C B A D,A
What does URL stand for in computer terminology?,Uniform Resource Locator,Universal Resource Link,Uniform Reference Locator,Universal Reference Link,A
Which device is primarily used to connect a computer to a network?,Router,Monitor,Printer,Scanner,A
What is the primary function of an operating system in daily computer use?,Manage hardware and software resources,Create documents and spreadsheets,Connect to the internet,Protect against viruses,A
Which of the following is a commonly used input device for computers?,Keyboard,Monitor,Speaker,Projector,A
"In daily life, which software helps to browse websites on the internet?",Web browser,Word processor,Spreadsheet,Database,A
What type of memory is used to store data temporarily while a computer is running?,RAM,Hard disk,ROM,Flash drive,A
Which technology is used for wireless communication between devices over short distances?,Bluetooth,Wi-Fi,Fiber optics,Ethernet,A
What is the full form of HTTP used in web addresses?,HyperText Transfer Protocol,Hyperlink Text Transfer Protocol,High Transfer Text Protocol,Hyper Transfer Text Program,A
Which computer component is considered the 'brain' of the computer?,Central Processing Unit (CPU),Hard drive,RAM,Power supply,A
Which of the following is an example of cloud storage service used in daily life?,Google Drive,Microsoft Word,Adobe Photoshop,Windows Defender,A
"If x lies between -3 and 5 on the number line, which of the following inequalities represents this?",-3 < x < 5,x < -3 or x > 5,x ≤ -3 or x ≥ 5,-3 ≥ x ≥ 5,A
Which inequality corresponds to all points on the number line less than or equal to zero?,x ≤ 0,x ≥ 0,x > 0,x < 0,A
"If |x - 2| < 4, which inequality describes the range of x on the number line?",-2 < x < 6,2 < x < 6,-4 < x < 2,x > 6 or x < -2,A
"On the number line, which of the following represents the inequality x ≥ -1?",All points to the right of and including -1,All points to the left of -1,All points between -1 and 0,Points only at -1,A
"If the number line shows x > 3, which of the following is true?",x is any number greater than 3,x is any number less than 3,x is exactly 3,x is any number greater than or equal to 3,A
Which inequality represents the union of intervals x < -2 or x > 4 on the number line?,x < -2 or x > 4,-2 ≤ x ≤ 4,-2 < x < 4,x ≥ -2 and x ≤ 4,A
What was the primary objective of ISRO's Chandrayaan-1 mission?,To explore the Moon and confirm the presence of water,To study Mars atmosphere,To launch India's first satellite,To deploy communication satellites,A
Which ISRO mission was the first Indian spacecraft to reach Mars?,Mangalyaan (Mars Orbiter Mission),Chandrayaan-2,Astrosat,RISAT-1,A
What is the name of the launch vehicle used by ISRO for the Chandrayaan-2 mission?,PSLV,GSLV Mk III,GSLV Mk II,SSLV,B
Which ISRO satellite is specifically designed for weather forecasting and oceanographic studies?,INSAT,RISAT,Oceansat,Cartosat,C
"Astrosat, launched by ISRO, is a satellite dedicated to which field of study?",Astronomy,Telecommunications,Meteorology,Navigation,A
Which ISRO mission was India's first dedicated satellite for earth observation?,IRS-1A,Cartosat-2,RISAT-1,INSAT-3C,A
What is the key feature of ISRO’s GSLV Mk III launch vehicle?,It is capable of launching heavier payloads into geostationary orbit,It is designed for suborbital flights only,It is the smallest rocket used by ISRO,It is used exclusively for lunar missions,A
Which of the following ISRO missions aims to study the Sun?,Aditya-L1,Chandrayaan-3,RISAT-2B,NavIC,A
Which ISRO mission is designed to provide regional satellite navigation services over India and surrounding regions?,NavIC,Mangalyaan,RISAT,Cartosat,A
What was a unique achievement of the Mars Orbiter Mission (Mangalyaan)?,First Asian mission to reach Mars orbit successfully,First mission to land on Mars,First ISRO mission to study the Sun,First Indian satellite launched into geostationary orbit,A
"A pipe can fill a tank in 12 hours and another empty it in 16 hours. If both pipes are opened alternately for one hour each, how long will it take to fill the tank?",28 hours,24 hours,30 hours,20 hours,A
"Two pipes can fill a tank in 8 hours and 12 hours respectively. They are opened alternately for one hour each, starting with the faster pipe. How much time will it take to fill the tank?",9 hours,10 hours,8.5 hours,11 hours,B
"If the inequality on the number line is -5 ≤ x ≤ 2, what is the length of the interval?",7,3,5,2,A
Which city is known as the 'Financial Capital of India' and often features in economic news?,Mumbai,Delhi,Kolkata,Chennai,A
"The city of Shimla, often in news for tourism and weather updates, is located in which Indian state?",Uttarakhand,Himachal Pradesh,Jammu and Kashmir,Sikkim,B
The headquarters of the Indian Space Research Organisation (ISRO) is located in which city?,Hyderabad,Mumbai,Bengaluru,Chennai,C
Which Indian city is famous for the 'Golden Temple' and often in news due to religious events?,Amritsar,Varanasi,Haridwar,Ajmer,A
"The Sundarbans, a UNESCO World Heritage Site known for its mangrove forests, is located in which Indian state?",Odisha,West Bengal,Andhra Pradesh,Tamil Nadu,B
Which city is known as the 'Silicon Valley of India' and is a major hub for the IT industry?,Pune,Hyderabad,Bengaluru,Chennai,C
"The Indian city of Varanasi, often in news for cultural and religious significance, is located on the banks of which river?",Ganga,Yamuna,Godavari,Narmada,A
Which Indian city is famous for the Charminar monument and is a capital of Telangana?,Hyderabad,Lucknow,Bhopal,Patna,A
"The Ajanta and Ellora caves, often featured in heritage news, are located near which city?",Aurangabad,Nagpur,Pune,Nashik,A
Which Indian city is known as the 'City of Joy' and is the capital of West Bengal?,Kolkata,Chennai,Bhubaneswar,Bangalore,A
"A pipe fills a cistern in 6 hours, and another empties it in 8 hours. If the pipes are opened alternately for one hour each, starting with the filling pipe, how long will it take to fill the cistern?",18 hours,20 hours,22 hours,24 hours,A
"A pipe fills a tank in 15 hours, and a second pipe empties it in 20 hours. If both pipes are opened alternatively for one hour each, starting with the emptying pipe, how long will the tank take to fill?",75 hours,90 hours,60 hours,80 hours,B
"One pipe can fill a tank in 10 hours and another can empty it in 15 hours. If they are opened alternately for equal intervals of time starting with the filling pipe, how long will it take to fill the tank?",40 hours,35 hours,30 hours,25 hours,A
A cistern is filled by two pipes alternately for one hour each. The first pipe can fill the cistern in 9 hours and the second empties it in 12 hours. How long will it take to fill the cistern if the filling pipe is used first?,27 hours,28 hours,30 hours,24 hours,A
"A pipe fills a tank in 18 hours while another pipe empties it in 24 hours. If the pipes are used alternately for one hour each starting with the filling pipe, how long will it take to fill the tank?",72 hours,60 hours,54 hours,48 hours,B
"Two pipes fill a tank alternately for one hour each. The first pipe can fill the tank in 7 hours and the second empties it in 14 hours. Starting with the filling pipe, find the total time to fill the tank.",28 hours,21 hours,24 hours,18 hours,A
"What is the missing number in the series: 3, 9, 27, ?, 243, 729?",54,81,90,108,B
For which of the following inequalities does the graph on the number line include all values greater than or equal to 0 but less than 7?,0 ≤ x < 7,0 < x ≤ 7,x ≤ 0 or x ≥ 7,x > 0 and x > 7,A
"On the number line, the inequality |x + 3| ≥ 5 corresponds to which of the following intervals?",x ≤ -8 or x ≥ 2,-8 ≤ x ≤ 2,-3 ≤ x ≤ 5,x > -8 and x < 2,A
"Which of the following inequalities represents the set of points on the number line between -4 and 4, including both endpoints?",-4 ≤ x ≤ 4,-4 < x < 4,x ≤ -4 or x ≥ 4,x < -4 or x > 4,A
"A pipe fills a tank in 20 hours and another empties it in 30 hours. They are opened alternately, each for one hour, starting with the emptying pipe. How long will it take to fill the tank?",75 hours,80 hours,70 hours,65 hours,B
"A pipe fills a tank in 10 hours and another empties it in 15 hours. They are opened alternately for two hours each, starting with the filling pipe. How long will it take to fill the tank?",40 hours,45 hours,50 hours,35 hours,A
Which process involves the direct conversion of a solid into a gas without passing through the liquid state?,Sublimation,Condensation,Evaporation,Melting,A
The specific heat capacity of a substance is defined as the amount of heat required to raise the temperature of,1 gram of the substance by 1 degree Celsius,1 kilogram of the substance by 1 degree Celsius,1 gram of the substance by 1 Kelvin,1 kilogram of the substance by 1 Kelvin,A
Which law states that heat flows spontaneously from a hotter body to a colder body?,Second law of thermodynamics,First law of thermodynamics,Zeroth law of thermodynamics,Boyle’s law,A
In which mode of heat transfer does the heat move through the vibration of particles without the actual movement of the particles?,Conduction,Convection,Radiation,Evaporation,A
What is the temperature called at which all molecular motion stops?,Absolute zero,Boiling point,Melting point,Freezing point,A
